lon,lat,source
-97.83,26.16,record
-97.98,26.15,record
-66.49,18.44,record
-58.46,-34.59,record
-67.6,10.25,record
105.28,21.35,record
-3.17,12.42,record
7.49,6.45,record
7.37,6.55,record
7.42,6.47,record
-61.38,10.62,record
-77.92,18.47,record
0.05,6.3,record
146.8,-19.29,record
3.91,7.07,record
-100.52,28.71,record
7.42,6.5,record
-40.35,-20.31,record
-149.32,-17.72,record
-58.46,-34.59,record
-48.2,-7.2,record
109,12.5,record
-80.35,25.62,record
39.59,-4,record
-149.85,-17.52,record
32.58,0.15,record
105.83,20.25,record
108.67,15.33,record
35.89,-6.11,record
30.65,-0.61,record
-90.05,30,record
36.3,-8.97,record
146.8,-19.25,record
146.77,-19.29,record
40.14,-3.04,record
146.63,-19.88,record
13.6,-1.63,record
146.79,-19.28,record
-100.56,19.69,record
38.44,-3.49,record
5.63,6.34,record
-58.46,-34.59,record
106.71,10.85,record
-40.3,-20.3,record
106.54,10.9,record
39.27,-6.9,record
31.73,-0.33,record
106.5,10.74,record
39.82,-3.75,record
106.71,10.71,record
106.76,10.76,record
106.53,10.81,record
146.79,-19.3,record
146.8,-19.24,record
99.95,9.54,record
-149.6,-17.64,record
38.78,-5.17,record
146.82,-19.28,record
96.5,17.33,record
39.82,-3.75,record
-15.58,14.13,record
106.66,10.76,record
106.7,10.76,record
106.8,10.86,record
-76.14,20.2,record
95.45,20.73,record
106.74,10.73,record
106.6,10.67,record
-15.43,14.12,record
-15.55,14.11,record
-15.59,14.07,record
106.69,10.83,record
99.99,13.38,record
106.59,10.89,record
-95.36,29.76,record
106.71,10.75,record
39.27,-10.95,record
7.42,6.47,record
99.99,9.46,record
79.33,12.25,record
-151.44,-16.8,record
-14.8,13.98,record
106.71,10.67,record
39.5,-3.97,record
99.91,20.46,record
-52.33,4.93,record
-4.29,11.18,record
-97.74,30.26,record
94.73,16.77,record
94.9,20.14,record
95.14,22.11,record
106.72,10.78,record
106.55,10.74,record
106.62,10.67,record
97.04,20.78,record
39.59,-4,record
-90.05,29.98,record
-94.87,29.26,record
160.05,-9.43,record
-90.08,29.93,record
173.13,1.36,record
-172.43,-13.66,record
-92.13,29.97,record
-94.1,30.08,record
173.15,1.36,record
-14.69,14.38,record
120.47,22.66,record
97.75,22.94,record
-90.06,29.96,record
-172.19,-13.68,record
39.69,-4.03,record
80.02,9.67,record
160.07,-11.56,record
-90.05,29.94,record
-171.82,-14,record
79.15,12.82,record
37.53,-2.54,record
-179.98,-16.84,record
39.59,-4,record
120.28,22.8,record
121.14,22.76,record
