lon,lat,source
-82.75,36.87,record
-82.55,36.63,record
140.88,38.28,record
107.98,26.59,record
-82.75,36.97,record
120.17,30.25,record
-53.74,-26.06,record
139.84,38.91,record
141.15,39.7,record
140.05,39.39,record
101.28,13.65,record
-82.75,36.7,record
-48.53,-26.21,record
-96.72,41.83,record
140.12,39.71,record
98.85,14.44,record
-34.92,-8.03,record
141.14,38.93,record
-83.22,35.87,record
-54.57,-22.08,record
-96.72,41.83,record
-84.13,36.1,record
-47.84,-24.5,record
139.93,37.49,record
-40.31,-20.31,record
-82.8,36.72,record
130.3,33.25,record
-43.35,-22.93,record
140.48,37.75,record
128.17,26.74,record
-84.51,35.65,record
-76.45,36.63,record
-84.88,35.91,record
-75.21,40.02,record
141.13,39.13,record
-47.8,-24.89,record
-48.86,-26.32,record
-84.28,36.02,record
101.27,13.62,record
-84.13,35.98,record
113.83,3.5,record
104.07,30.67,record
-86.16,39.77,record
-47.8,-24.89,record
120.92,24.69,record
-34.95,-8.07,record
141.24,38.98,record
-96.78,40.81,record
121.66,-8.86,record
121.36,24.93,record
-89.63,40.69,record
-90.78,37.94,record
-89.62,40.7,record
-82.34,29.66,record
-82.34,29.66,record
121.35,24.96,record
-93.16,30.22,record
120.67,24.14,record
-46.51,-23.49,record
-90.78,37.94,record
-34.94,-8,record
-45.35,-23.84,record
120.12,30.28,record
100.3,5.36,record
-92.02,34.23,record
110.28,25.28,record
121.36,24.93,record
-82.34,29.66,record
-76.97,38.26,record
86.03,27.05,record
-49.23,-25.45,record
-47.07,-22.8,record
-89.62,40.7,record
-47.8,-24.89,record
-90.07,29.97,record
-89.82,39.13,record
103.48,29.6,record
-88.15,38.87,record
141.3,-6.12,record
-74.2,40.43,record
120.98,24.19,record
-90.07,29.97,record
130.21,33.27,record
121.48,31.24,record
-87.62,41.88,record
-100.52,28.71,record
-87.64,41.9,record
-92.02,34.23,record
-90.16,38.62,record
-85.01,39.23,record
-90.75,37.98,record
-95.35,29.75,record
106.68,10.78,record
-89.2,37.11,record
-82.34,29.66,record
79.81,11.93,record
174.9,-36.96,record
110.38,1.53,record
-93.22,30.23,record
-81.65,30.33,record
-46.17,-19.68,record
104.07,30.67,record
-46.53,-23.49,record
-158,21.44,record
108.31,22.83,record
113.02,25.81,record
-93.22,30.23,record
108.88,34.26,record
6.38,6.3,record
-95.11,29.75,record
-90.16,38.62,record
-90.05,35.14,record
-76.62,39.29,record
-100.93,29.32,record
109.11,21.48,record
-81.84,28.32,record
-81.65,30.33,record
102.48,23.69,record
-94.58,39.1,record
113.65,34.77,record
-90.78,37.94,record
116.86,23.85,record
113.24,23.13,record
139.4,35.45,record
-89.98,30.02,record
-88.2,40.11,record
108.26,23.17,record
-84.51,38.04,record
106.7,26.57,record
-46.63,-23.53,record
-40.42,-20.27,record
-95.09,29.43,record
-90.16,38.62,record
-95.26,29.92,record
-95.33,29.5,record
-86.16,39.77,record
18.44,-33.93,record
139.41,35.49,record
-82.72,29.93,record
-81.65,30.33,record
18.44,-33.93,record
119.3,26.07,record
-89.91,30.03,record
118.5,9.72,record
-87.57,37.98,record
-94.97,29.73,record
-87.05,30.63,record
77.58,12.97,record
-93.77,32.48,record
-95.62,29.6,record
-75.43,38.91,record
-95.35,29.75,record
-95.34,29.65,record
-95.62,30.2,record
6.35,6.12,record
177.45,-17.76,record
-86.16,39.77,record
103.1,5.13,record
-87.64,41.9,record
-95.35,29.75,record
-86.23,30.39,record
134.98,34.8,record
-92.02,30.21,record
-87.56,37.98,record
-94.79,29.81,record
-95.35,29.75,record
134.98,34.8,record
-87.57,37.98,record
-40.37,-20.24,record
113.27,23.11,record
177.44,-17.76,record
-85.01,39.23,record
-95.35,29.75,record
99.33,9.14,record
